Date,FIPS,County,Democrat - Active,Republican - Active,Libertarian - Active,No Party - Active,Other - Active,Total - Active,Democrat - Inactive,Republican - Inactive,Libertarian - Inactive,No Party - Inactive,Other - Inactive,Total - Inactive,Grand Total,Primary Lat Dec,Primary Long Dec,Primary County Coordinates
03/01/2015 12:00:00 AM,19001,Adair,1041,1906,,2032,8,4987,66,61,,157,0,284,5271,41.3307464,-94.4709413,"(41.3307464, -94.4709413)"
03/01/2015 12:00:00 AM,19003,Adams,608,965,,1165,3,2741,27,29,,100,0,156,2897,41.0289839,-94.6991849,"(41.0289839, -94.6991849)"
03/01/2015 12:00:00 AM,19005,Allamakee,2132,4196,,3192,10,9530,102,122,,192,0,416,9946,43.2842838,-91.3780923,"(43.2842838, -91.3780923)"
03/01/2015 12:00:00 AM,19007,Appanoose,2437,2793,,3007,7,8244,212,179,,364,0,755,8999,40.7431635,-92.8686104,"(40.7431635, -92.8686104)"
03/01/2015 12:00:00 AM,19009,Audubon,1228,1540,,1393,8,4169,41,51,,106,0,198,4367,41.6845893,-94.9058222,"(41.6845893, -94.9058222)"
03/01/2015 12:00:00 AM,19011,Benton,4295,4979,,7491,33,16798,261,191,,561,3,1016,17814,42.0801864,-92.0656912,"(42.0801864, -92.0656912)"
03/01/2015 12:00:00 AM,19013,Black Hawk,28502,20284,,31471,334,80591,1793,971,,2226,31,5021,85612,42.4700957,-92.3088197,"(42.4700957, -92.3088197)"
03/01/2015 12:00:00 AM,19015,Boone,5129,5447,,7035,49,17660,220,252,,490,2,964,18624,42.0365493,-93.931671,"(42.0365493, -93.931671)"
03/01/2015 12:00:00 AM,19017,Bremer,3608,4960,,7451,38,16057,193,191,,467,4,855,16912,42.7745873,-92.3180548,"(42.7745873, -92.3180548)"
03/01/2015 12:00:00 AM,19019,Buchanan,3662,3063,,6410,16,13151,179,126,,425,0,730,13881,42.4707777,-91.8378392,"(42.4707777, -91.8378392)"
03/01/2015 12:00:00 AM,19021,Buena Vista,2872,3994,,4704,19,11589,119,144,,196,1,460,12049,42.7354936,-95.151149,"(42.7354936, -95.151149)"
03/01/2015 12:00:00 AM,19023,Butler,1676,4462,,3471,12,9621,81,94,,180,0,355,9976,42.7315661,-92.7901934,"(42.7315661, -92.7901934)"
03/01/2015 12:00:00 AM,19025,Calhoun,1337,2349,,2643,14,6343,83,94,,207,3,387,6730,42.3851848,-94.6404136,"(42.3851848, -94.6404136)"
03/01/2015 12:00:00 AM,19027,Carroll,3887,3875,,6142,47,13951,201,191,,552,3,947,14898,42.0362382,-94.8605593,"(42.0362382, -94.8605593)"
03/01/2015 12:00:00 AM,19029,Cass,1525,4693,,3001,13,9232,107,221,,300,0,628,9860,41.3314876,-94.9278266,"(41.3314876, -94.9278266)"
03/01/2015 12:00:00 AM,19031,Cedar,3076,3657,,4641,28,11402,150,126,,284,2,562,11964,41.7723207,-91.1324125,"(41.7723207, -91.1324125)"
03/01/2015 12:00:00 AM,19033,Cerro Gordo,8996,7900,,12450,50,29396,550,371,,1043,2,1966,31362,43.0815577,-93.2608184,"(43.0815577, -93.2608184)"
03/01/2015 12:00:00 AM,19035,Cherokee,1824,3156,,3010,18,8008,135,166,,353,2,656,8664,42.7356226,-95.6238055,"(42.7356226, -95.6238055)"
03/01/2015 12:00:00 AM,19037,Chickasaw,2656,2183,,3551,12,8402,133,107,,280,1,521,8923,43.0600414,-92.3176637,"(43.0600414, -92.3176637)"
03/01/2015 12:00:00 AM,19039,Clarke,1506,1769,,2225,10,5510,110,122,,254,1,487,5997,41.0290323,-93.7851579,"(41.0290323, -93.7851579)"
03/01/2015 12:00:00 AM,19041,Clay,2353,4464,,4204,13,11034,235,249,,439,0,923,11957,43.0825804,-95.1509194,"(43.0825804, -95.1509194)"
03/01/2015 12:00:00 AM,19043,Clayton,3305,3286,,4784,23,11398,123,109,,226,2,460,11858,42.8447493,-91.3414328,"(42.8447493, -91.3414328)"
03/01/2015 12:00:00 AM,19045,Clinton,10025,7195,,13163,47,30430,1214,520,,1693,6,3433,33863,41.8980358,-90.5319724,"(41.8980358, -90.5319724)"
03/01/2015 12:00:00 AM,19047,Crawford,2582,3119,,3460,7,9168,121,92,,223,0,436,9604,42.0372125,-95.3819678,"(42.0372125, -95.3819678)"
03/01/2015 12:00:00 AM,19049,Dallas,10215,16852,,19293,142,46502,940,1447,,2225,11,4623,51125,41.6848862,-94.0397374,"(41.6848862, -94.0397374)"
03/01/2015 12:00:00 AM,19051,Davis,1814,1508,,1432,3,4757,111,64,,157,1,333,5090,40.7476891,-92.4097173,"(40.7476891, -92.4097173)"
03/01/2015 12:00:00 AM,19053,Decatur,1395,1556,,1489,10,4450,56,40,,63,0,159,4609,40.7376827,-93.7862815,"(40.7376827, -93.7862815)"
03/01/2015 12:00:00 AM,19055,Delaware,2485,3790,,4993,4,11272,77,96,,171,0,344,11616,42.471211,-91.3673502,"(42.471211, -91.3673502)"
03/01/2015 12:00:00 AM,19057,Des Moines,10898,5973,,8675,55,25601,704,404,,860,5,1973,27574,40.9231829,-91.1814707,"(40.9231829, -91.1814707)"
03/01/2015 12:00:00 AM,19059,Dickinson,2349,5066,,4484,25,11924,125,196,,280,3,604,12528,43.3779848,-95.1508301,"(43.3779848, -95.1508301)"
03/01/2015 12:00:00 AM,19061,Dubuque,24835,15022,,22674,192,62723,1386,836,,1686,19,3927,66650,42.468832,-90.8824564,"(42.468832, -90.8824564)"
03/01/2015 12:00:00 AM,19063,Emmet,1902,1626,,2824,8,6360,216,150,,485,1,852,7212,43.3780225,-94.6784803,"(43.3780225, -94.6784803)"
03/01/2015 12:00:00 AM,19065,Fayette,3510,3917,,4218,34,11679,191,120,,279,3,593,12272,42.8625919,-91.8443207,"(42.8625919, -91.8443207)"
03/01/2015 12:00:00 AM,19067,Floyd,3069,2584,,4745,12,10410,153,102,,284,3,542,10952,43.0599208,-92.7890033,"(43.0599208, -92.7890033)"
03/01/2015 12:00:00 AM,19069,Franklin,1249,3046,,2300,7,6602,49,61,,151,1,262,6864,42.7325458,-93.262473,"(42.7325458, -93.262473)"
03/01/2015 12:00:00 AM,19071,Fremont,1124,1981,,1635,5,4745,136,206,,301,1,644,5389,40.7455892,-95.6046765,"(40.7455892, -95.6046765)"
03/01/2015 12:00:00 AM,19073,Greene,1792,2092,,2303,9,6196,104,126,,230,1,461,6657,42.0362394,-94.3968356,"(42.0362394, -94.3968356)"
03/01/2015 12:00:00 AM,19075,Grundy,1404,3988,,3036,16,8444,58,133,,212,3,406,8850,42.4018651,-92.7914177,"(42.4018651, -92.7914177)"
